,year,name,artists,key
119433,1993,This Time,['Dwight Yoakam'],9
129910,1965,"Good Morning, Little Schoolgirl - 2015 Remaster",['The Yardbirds'],4
73249,2011,Bottoms Up,['Nickelback'],0
10247,1973,Saturday Night’s Alright (For Fighting) - Remastered 2014,['Elton John'],0
157768,1956,Artistry In Rhythm,['Stan Kenton'],8
99143,1972,Whammer Jammer - Live,"['The J. Geils Band', 'Geoffrey Haslam']",9
138227,2007,"All My Loving - From ""Across The Universe"" Soundtrack",['Jim Sturgess'],1
93600,1942,A rossa - Instrument and base Version,['Orchestra Studio 7'],4
118180,1986,What If We Give It Away?,['R.E.M.'],2
87968,1999,House Of The Rising Sun,"['Doc Watson', 'Richard Watson']",5
165738,1996,Long Time Sunshine,['Weezer'],3
43247,1950,Bop Look And Listen,['George Shearing'],5
121982,2006,Wine Red,['The Hush Sound'],0
24104,1946,The Small Bag,['Michel De Villers'],3
44789,1957,Échame a Mí la Culpa,['Javier Solís'],10
46133,1964,Gypsy Without A Song,['McCoy Tyner'],0
138696,2009,Turn To Stone,['Ingrid Michaelson'],0
75866,1930,Ogo Priyotama Ogo Premomoy,['Smt. Angurbala Devi'],11
103811,1995,Watch Me,['Lorrie Morgan'],5
111230,1952,H mauragoritissa,['Athanasios Athanasiou'],1
166689,2001,Time Forgets...,['Yiruma'],2
148251,1983,Don't Let It End,['Styx'],6
25057,1952,I Ride an Old Paint,['Cisco Houston'],1
2493,1934,You Have Taken My Heart (Roy Fox),['Roy Fox'],0
148487,1984,I Want To Break Free - Extended Mix,['Queen'],4
12462,1984,I Feel for You,['Chaka Khan'],11
77727,1947,I Love You,['The Soft Winds'],5
158711,1960,Majhe Maher Pandhari,['Bhimsen Joshi'],1
55813,2013,Bad Girls Club,['Falling In Reverse'],2
103624,1994,Cockroaches,['Nailbomb'],7
163029,1982,Endless Love - Solo Demo,['Lionel Richie'],5
158709,1960,I Had A Dream,['The Staple Singers'],1
93025,1935,"Mathur Sakhi Hari Ki Mathurapur Gelo, Pt. 1",['K.C.Dey'],7
114975,1970,I'm Ready,['Humble Pie'],2
28836,1971,Hyacinth House,['The Doors'],7
154198,2013,Baby,['Born Without Bones'],3
159120,1962,Miss Marmelstein,['Barbra Streisand'],10
64894,1969,Just a Little Lovin',['Dusty Springfield'],5
29396,1974,Long Tall Glasses (I Can Dance) - Remastered,['Leo Sayer'],9
136486,1998,Cold Brains,['Beck'],2
99058,1971,Holding,['John Hartford'],4
80538,1961,Stars Fell On Alabama - Remastered,['Ricky Nelson'],7
22289,1937,Resentimiento - Remasterizado,"['Francisco Canaro', 'Roberto Maida']",7
130283,1967,Open The Door To Your Heart,['Jackie Wilson'],3
112845,1960,Girl in the 4th Dimension,['Sheldon Allman'],2
132151,1976,Brand New Heartache,"['Gram Parsons', 'Emmylou Harris']",4
121822,2005,"La Abeja Miope - En Vivo - Houston, Tx / 2005",['Brazeros Musical De Durango'],0
32774,1991,Is It Good To You,['Heavy D & The Boyz'],1
131509,1973,"Early Morning Rain - Live at The Honolulu International Center, Hawaii January 12, 1973 - Rehearsal",['Elvis Presley'],0
90245,2010,Nevergreen,['Emancipator'],3
101164,1982,Dixie On My Mind,"['Hank Williams, Jr.']",2
153150,2008,The Girl You Lost To Cocaine,['Sia'],11
67842,1984,Cleanin' Up the Town,['The Bus Boys'],0
114381,1967,Think Twice Before You Go,['John Lee Hooker'],11
127126,1951,Kismat Ka Likha Ho Kar Rahega,['Lata Mangeshkar'],2
89492,2006,Let Go,['DeWayne Woods'],8
65988,1974,Cracker Jack,['Dolly Parton'],10
22323,1938,Iubesc femeia,['Cristian Vasile'],5
9947,1971,"Pure Imagination - From ""Willy Wonka & The Chocolate Factory"" Soundtrack",['Gene Wilder'],10
137327,2002,Castle in the Mist,['ICO'],4
41064,1939,"Bhoomiyil Maanida, Pt. 2",['Mohammed Rafi'],2
7281,1958,Chicago - Remastered,['Frank Sinatra'],5
147933,1981,La Borinqueña,['Danny Rivera'],9
97099,1962,"Oh, How I Miss You Tonight",['Frank Sinatra'],7
146141,1972,Mess Around,['Dr. John'],8
78855,1952,Gokul Avyun Chhe,['Rampyari'],1
166788,2001,Undo,['Björk'],5
114710,1969,It's Not My Cross To Bear - 1973 Beginnings Mix,['Allman Brothers Band'],9
68610,1987,The Last One To Know,['Reba McEntire'],2
146229,1973,These Foolish Things,['Bryan Ferry'],2
93853,1945,Piano Playtime: Dancing Bagpipes No. 5 (To David),"['Abram Chasins', 'William Kapell']",9
76801,1940,"Waldszenen, Op. 82: 9. Abschied","['Robert Schumann', 'Robert Casadesus']",10
115613,1973,Mama Feelgood,"['Lyn Collins', ""The J.B.'s""]",1
112682,1959,Mama Loves Mambo,['Small Island Pride'],10
24909,1951,Can't Help Lovin' Dat Man - Reprise #2,['Kathryn Grayson'],10
63517,1962,Three Days,['Willie Nelson'],10
168196,2008,Pervert Pop Song (Castígame),['Plastilina Mosh'],2
22234,1937,One,['Mushy Peas'],2
11494,1979,Forever Mine,"[""The O'Jays""]",7
72926,2009,Lost In Stereo,['All Time Low'],10
117306,1982,Don't Worry About the Government - Live; 2004 Remaster,['Talking Heads'],7
168960,2012,This Ole Boy,['Craig Morgan'],11
92908,1930,Como El Rocha,"['Banda del Regimiento Pérez 3 de Infantería', 'Adrián Patiño']",7
8966,1966,Do Wah Diddy Diddy,['Manfred Mann'],4
98297,1968,Greasy Heart,['Jefferson Airplane'],2
158582,1960,Stay As Sweet As You Are,['Sonny Red'],0
148901,1986,These Days - 2011 Remaster,['R.E.M.'],9
105354,2003,I'm Shakin',['Rooney'],8
